"search-number","evaluation","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","num-replicates","best-fitness-so-far"
"3","4","1000","""suslab""","""schwarz""","true","1","false","0.02512857427349344","""showerhead""","0","0.9574940655324742","1","4","16.8135"
"3","28","1000","""suslab""","""schwarz""","true","1","false","0.02294762485920119","""showerhead""","0","0.8351610142165937","1","4","9.8695"
"3","36","1000","""suslab""","""schwarz""","true","1","false","0.02250281164429469","""showerhead""","0","0.8351610142165937","1","4","9.003"
"3","108","1000","""suslab""","""schwarz""","true","1","false","0.02250281164429469","""showerhead""","0","0.8499706522805607","1","4","8.809"
"3","116","1000","""suslab""","""schwarz""","true","1","false","0.0189038694912245","""showerhead""","0","0.8499706522805607","1","4","8.776"
"3","216","1000","""suslab""","""schwarz""","true","1","false","0.0189038694912245","""showerhead""","0","0.765019735923763","1","4","6.209999999999999"
"4","4","1000","""suslab""","""schwarz""","true","1","false","0.012027562127082858","""showerhead""","0","0.7563755931215218","1","4","21.886000000000003"
"4","20","1000","""suslab""","""schwarz""","true","1","false","0.012027562127082858","""showerhead""","0","0.7449180597671955","1","4","20.9765"
"4","24","1000","""suslab""","""schwarz""","true","1","false","0.012027562127082858","""showerhead""","0","0.6743639237970791","1","4","17.7305"
"4","40","1000","""suslab""","""schwarz""","true","1","false","0.01547843454524087","""showerhead""","0","0.6183499037592661","1","4","17.686"
"4","44","1000","""suslab""","""schwarz""","true","1","false","0.017826893262818708","""showerhead""","0","0.6183499037592661","1","4","14.082500000000001"
"4","48","1000","""suslab""","""schwarz""","true","1","false","0.017826893262818708","""showerhead""","0","0.7830754105550035","1","4","13.697000000000001"
"4","60","1000","""suslab""","""schwarz""","true","1","false","0.02623567574772523","""showerhead""","0","0.7830754105550035","1","4","9.355"
"4","92","1000","""suslab""","""schwarz""","true","1","false","0.02623567574772523","""showerhead""","0","0.7935150248228086","1","4","8.879"
"4","132","1000","""suslab""","""schwarz""","true","1","false","0.023505779459918177","""showerhead""","0","0.7935150248228086","1","4","6.413499999999999"
"5","4","1000","""suslab""","""schwarz""","true","1","false","0.027934287637153915","""showerhead""","0","0.42570537814471787","1","4","44.156"
"5","8","1000","""suslab""","""schwarz""","true","1","false","0.027293993869798167","""showerhead""","0","0.42570537814471787","1","4","42.887"
"5","12","1000","""suslab""","""schwarz""","true","1","false","0.027293993869798167","""showerhead""","0","0.521026600295155","1","4","38.9645"
"5","24","1000","""suslab""","""schwarz""","true","1","false","0.01826269558613481","""showerhead""","0","0.521026600295155","1","4","15.4235"
"5","28","1000","""suslab""","""schwarz""","true","1","false","0.016844090012272064","""showerhead""","0","0.521026600295155","1","4","11.483500000000003"
"5","32","1000","""suslab""","""schwarz""","true","1","false","0.016844090012272064","""showerhead""","0","0.48964868958784163","1","4","7.985500000000001"
"5","44","1000","""suslab""","""schwarz""","true","1","false","0.016844090012272064","""showerhead""","0","0.5521697092458813","1","4","4.7345"
"6","4","1000","""suslab""","""schwarz""","true","1","false","0.027849959835319946","""showerhead""","0","0.9844129243736653","1","4","18.252499999999998"
"6","8","1000","""suslab""","""schwarz""","true","1","false","0.02721675815640955","""showerhead""","0","0.9378686202606888","1","4","13.444"
"6","12","1000","""suslab""","""schwarz""","true","1","false","0.02616786144736334","""showerhead""","0","0.9378686202606888","1","4","11.166500000000001"
"6","20","1000","""suslab""","""schwarz""","true","1","false","0.027052533676199555","""showerhead""","0","0.9378686202606888","1","4","10.8935"
"6","24","1000","""suslab""","""schwarz""","true","1","false","0.027052533676199555","""showerhead""","0","0.9283043337993027","1","4","10.5145"
"6","40","1000","""suslab""","""schwarz""","true","1","false","0.027052533676199555","""showerhead""","0","0.7790716192715834","1","4","8.3085"
"6","116","1000","""suslab""","""schwarz""","true","1","false","0.027381406746744053","""showerhead""","0","0.7790716192715834","1","4","6.719000000000001"
"7","4","1000","""suslab""","""schwarz""","true","1","false","0.039820796017258894","""showerhead""","0","0.31345733758877836","1","4","67.884"
"7","8","1000","""suslab""","""schwarz""","true","1","false","0.039820796017258894","""showerhead""","0","0.3373097220425226","1","4","66.184"
"7","12","1000","""suslab""","""schwarz""","true","1","false","0.039820796017258894","""showerhead""","0","0.5104475253737366","1","4","64.71"
"7","24","1000","""suslab""","""schwarz""","true","1","false","0.04","""showerhead""","0","0.5104475253737366","1","4","61.205999999999996"
"7","28","1000","""suslab""","""schwarz""","true","1","false","0.03830916703044684","""showerhead""","0","0.5104475253737366","1","4","59.51649999999999"
"7","40","1000","""suslab""","""schwarz""","true","1","false","0.03428740690459192","""showerhead""","0","0.5104475253737366","1","4","49.9845"
"7","44","1000","""suslab""","""schwarz""","true","1","false","0.03428740690459192","""showerhead""","0","0.6771838832697743","1","4","49.459"
"7","52","1000","""suslab""","""schwarz""","true","1","false","0.03428740690459192","""showerhead""","0","0.7155116358753147","1","4","31.495"
"7","72","1000","""suslab""","""schwarz""","true","1","false","0.03551876825220645","""showerhead""","0","0.7155116358753147","1","4","22.427500000000002"
"7","120","1000","""suslab""","""schwarz""","true","1","false","0.03630070524686846","""showerhead""","0","0.7155116358753147","1","4","21.0505"
"7","244","1000","""suslab""","""schwarz""","true","1","false","0.03630070524686846","""showerhead""","0","0.8560019868091097","1","4","15.261000000000001"
"7","248","1000","""suslab""","""schwarz""","true","1","false","0.03801284506738346","""showerhead""","0","0.8560019868091097","1","4","14.825"
"7","252","1000","""suslab""","""schwarz""","true","1","false","0.03801284506738346","""showerhead""","0","0.9796502449829767","1","4","12.635999999999997"
"7","256","1000","""suslab""","""schwarz""","true","1","false","0.03435491016514902","""showerhead""","0","0.9796502449829767","1","4","11.0485"
"7","280","1000","""suslab""","""schwarz""","true","1","false","0.03435491016514902","""showerhead""","0","0.8776563682270458","1","4","10.3555"
"8","4","1000","""suslab""","""schwarz""","true","1","false","0.018062791860592287","""showerhead""","0","0.809969247125078","1","4","18.563000000000002"
"8","8","1000","""suslab""","""schwarz""","true","1","false","0.020462982162244656","""showerhead""","0","0.809969247125078","1","4","10.273500000000002"
"8","28","1000","""suslab""","""schwarz""","true","1","false","0.022129551140808754","""showerhead""","0","0.8853515712778246","1","4","9.4355"
"8","60","1000","""suslab""","""schwarz""","true","1","false","0.02171528064579387","""showerhead""","0","0.7876208285220453","1","4","9.0655"
"8","64","1000","""suslab""","""schwarz""","true","1","false","0.021143837186097053","""showerhead""","0","0.7876208285220453","1","4","7.6615"
"8","140","1000","""suslab""","""schwarz""","true","1","false","0.026741456868916956","""showerhead""","0","0.7876208285220453","1","4","7.145499999999999"
"9","4","1000","""suslab""","""schwarz""","true","1","false","0.02536599010979976","""showerhead""","0","0.2533174537419862","1","4","49.565"
"9","8","1000","""suslab""","""schwarz""","true","1","false","0.02536599010979976","""showerhead""","0","0.29596768146256225","1","4","41.549499999999995"
"9","12","1000","""suslab""","""schwarz""","true","1","false","0.021755465842998586","""showerhead""","0","0.29596768146256225","1","4","34.917500000000004"
"9","24","1000","""suslab""","""schwarz""","true","1","false","0.021822760985365643","""showerhead""","0","0.24070914386133746","1","4","33.36000000000001"
"9","28","1000","""suslab""","""schwarz""","true","1","false","0.024312701512770922","""showerhead""","0","0.24070914386133746","1","4","22.936"
"9","56","1000","""suslab""","""schwarz""","true","1","false","0.019161209646326074","""showerhead""","0","0.24070914386133746","1","4","20.080499999999997"
"9","60","1000","""suslab""","""schwarz""","true","1","false","0.014464964678309943","""showerhead""","0","0.24070914386133746","1","4","12.117"
"9","76","1000","""suslab""","""schwarz""","true","1","false","0.01038982892000286","""showerhead""","0","0.24070914386133746","1","4","10.011"
"9","84","1000","""suslab""","""schwarz""","true","1","false","0.012270941117651795","""showerhead""","0","0.24070914386133746","1","4","10.003999999999998"
"9","104","1000","""suslab""","""schwarz""","true","1","false","0.012270941117651795","""showerhead""","0","0.2572151804638783","1","4","8.099"
"10","4","1000","""suslab""","""schwarz""","true","1","false","0.03397347551172676","""showerhead""","0","0.040940247233402616","1","4","66.556"
"10","8","1000","""suslab""","""schwarz""","true","1","false","0.03397347551172676","""showerhead""","0","0.07358891950074127","1","4","65.79150000000001"
"10","28","1000","""suslab""","""schwarz""","true","1","false","0.03237806824340469","""showerhead""","0","0","1","4","63.123"
"10","32","1000","""suslab""","""schwarz""","true","1","false","0.031494072556192104","""showerhead""","0","0","1","4","61.423"
"10","36","1000","""suslab""","""schwarz""","true","1","false","0.032081237316132515","""showerhead""","0","0","1","4","60.88850000000001"
"10","60","1000","""suslab""","""schwarz""","true","1","false","0.029161352502224965","""showerhead""","0","0","1","4","58.617000000000004"
"10","80","1000","""suslab""","""schwarz""","true","1","false","0.02761007505302816","""showerhead""","0","0","1","4","58.58"
"10","84","1000","""suslab""","""schwarz""","true","1","false","0.02761007505302816","""showerhead""","0","0.07891837262410756","1","4","48.952"
"10","116","1000","""suslab""","""schwarz""","true","1","false","0.030249995106126595","""showerhead""","0","0.07891837262410756","1","4","40.186"
"11","4","1000","""suslab""","""schwarz""","true","1","false","0.00806867089251492","""showerhead""","0","0.46718683933881267","1","4","24.3095"
"11","8","1000","""suslab""","""schwarz""","true","1","false","0.011383235225180765","""showerhead""","0","0.47266823345742703","1","4","13.846"
"11","20","1000","""suslab""","""schwarz""","true","1","false","0.011383235225180765","""showerhead""","0","0.5215324656705896","1","4","13.8"
"11","32","1000","""suslab""","""schwarz""","true","1","false","0.018227748935971656","""showerhead""","0","0.5215324656705896","1","4","9.891"
"11","40","1000","""suslab""","""schwarz""","true","1","false","0.01588426908798217","""showerhead""","0","0.5502351205274993","1","4","6.984"
"11","140","1000","""suslab""","""schwarz""","true","1","false","0.015108955364682085","""showerhead""","0","0.36320342259091987","1","4","6.182500000000001"
"12","4","1000","""suslab""","""schwarz""","true","1","false","0.0075799676582024005","""showerhead""","0","0.2629062037552017","1","4","24.3075"
"12","8","1000","""suslab""","""schwarz""","true","1","false","0.0075799676582024005","""showerhead""","0","0.1691043836962639","1","4","21.830000000000002"
"12","12","1000","""suslab""","""schwarz""","true","1","false","0.013745957059579997","""showerhead""","0","0.1691043836962639","1","4","14.796499999999998"
"12","20","1000","""suslab""","""schwarz""","true","1","false","0.013745957059579997","""showerhead""","0","0.09689302712213752","1","4","12.746500000000001"
"12","40","1000","""suslab""","""schwarz""","true","1","false","0.013745957059579997","""showerhead""","0","0.06242454382859961","1","4","12.5535"
"12","60","1000","""suslab""","""schwarz""","true","1","false","0.011856740506169784","""showerhead""","0","0.01000595905196798","1","4","11.952"
"12","64","1000","""suslab""","""schwarz""","true","1","false","0.011532034843393232","""showerhead""","0","0.01000595905196798","1","4","11.110500000000002"
"12","76","1000","""suslab""","""schwarz""","true","1","false","0.011211731270792093","""showerhead""","0","0.01000595905196798","1","4","10.27"
"12","232","1000","""suslab""","""schwarz""","true","1","false","0.01068567103391888","""showerhead""","0","0.15230680308095174","1","4","9.526500000000002"
"13","4","1000","""suslab""","""schwarz""","true","1","false","0.030084826325338505","""showerhead""","0","0.7935661203418951","1","4","16.9755"
"13","8","1000","""suslab""","""schwarz""","true","1","false","0.02882813756034045","""showerhead""","0","0.7935661203418951","1","4","14.827500000000002"
"13","12","1000","""suslab""","""schwarz""","true","1","false","0.025654288089597337","""showerhead""","0","0.7935661203418951","1","4","9.7025"
"13","24","1000","""suslab""","""schwarz""","true","1","false","0.025654288089597337","""showerhead""","0","0.7461670731404346","1","4","9.229000000000003"
"13","96","1000","""suslab""","""schwarz""","true","1","false","0.024050776160534398","""showerhead""","0","0.8606190728455163","1","4","9.214500000000001"
"13","108","1000","""suslab""","""schwarz""","true","1","false","0.024050776160534398","""showerhead""","0","0.7987058134430446","1","4","8.073"
"13","172","1000","""suslab""","""schwarz""","true","1","false","0.022077599134993443","""showerhead""","0","0.7079472331881169","1","4","6.3725000000000005"
"13","196","1000","""suslab""","""schwarz""","true","1","false","0.01842840768813599","""showerhead""","0","0.7079472331881169","1","4","5.818"
"14","4","1000","""suslab""","""schwarz""","true","1","false","0.023339098883492983","""showerhead""","0","0.11465273384049157","1","4","49.73650000000001"
"14","8","1000","""suslab""","""schwarz""","true","1","false","0.023339098883492983","""showerhead""","0","0.04835275194787192","1","4","42.717"
"14","48","1000","""suslab""","""schwarz""","true","1","false","0.019874105622430298","""showerhead""","0","0.04835275194787192","1","4","30.749499999999998"
"14","76","1000","""suslab""","""schwarz""","true","1","false","0.01672049240186755","""showerhead""","0","0.04835275194787192","1","4","28.701999999999998"
"14","80","1000","""suslab""","""schwarz""","true","1","false","0.018351661964685375","""showerhead""","0","0.03810501594426598","1","4","24.8455"
"14","92","1000","""suslab""","""schwarz""","true","1","false","0.015456657051986606","""showerhead""","0","0.03810501594426598","1","4","19.955999999999996"
"14","112","1000","""suslab""","""schwarz""","true","1","false","0.013822309466367283","""showerhead""","0","0","1","4","16.494500000000002"
"14","128","1000","""suslab""","""schwarz""","true","1","false","0.010395502479879914","""showerhead""","0","0","1","4","11.652000000000001"
"14","156","1000","""suslab""","""schwarz""","true","1","false","0.010395502479879914","""showerhead""","0","0.19857169374296296","1","4","9.467"
"14","296","1000","""suslab""","""schwarz""","true","1","false","0.012015785633771434","""showerhead""","0","0.19857169374296296","1","4","9.3655"
"15","4","1000","""suslab""","""schwarz""","true","1","false","0.03107028510507918","""showerhead""","0","0.39061064195064066","1","4","54.4165"
"15","8","1000","""suslab""","""schwarz""","true","1","false","0.03107028510507918","""showerhead""","0","0.3591913128109451","1","4","45.298"
"15","24","1000","""suslab""","""schwarz""","true","1","false","0.03107028510507918","""showerhead""","0","0.47168259764683157","1","4","26.5"
